Ingredient_id,Gluten Free,Nom,fibre (100g),unit_standard
1,Yes,Rice,0,g
2,Yes,Brown Rice,2,g
3,Yes,GF Pasta,"1,4",g
4,No,Pasta,"1,8",g
5,Yes,Pesto,1,g
6,Yes,Lentille coraille,,g
7,Yes,Oignon,,Unit
8,Yes,"Épinard ",,g
9,Yes,Poivron,,Unit
10,Yes,Ail,,Clove
11,Yes,Aubergine,,Unit
12,Yes,Courgette,,Unit
13,Yes,"Tomate classique ",,Unit
14,Yes,Tomate cerises,,g
15,Yes,"Brocoli ",,g
16,Yes,Pomme de terre,,kg
17,Yes,"Pois chiche ",,ml
18,Yes,Kidney beans,,ml
19,Yes,Tomate en des,,ml
20,Yes,Jus de tomate,,ml
21,Yes,Parmesan,,g
22,Yes,Quinoa,,g
23,Yes,Humus,,g
24,Yes,Cilantro / coriandre,,Unit
25,Yes,Avocado,,Unit
26,Yes,Lemon,,Unit
27,Yes,Lime,,Unit
28,Yes,Rice noodle,,g
29,Yes,Angel hair,,g
30,Yes,Blanc de poulet,,g
31,Yes,Concombre anglais,,Unit
32,Yes,Concombre libanais,,Unit
33,Yes,Vinaigre de riz,,ml
34,Yes,Soy sauce gf,,ml
35,No,Soy sauce non gf,,ml
36,Yes,Carotte,,Unit
37,Yes,Ciboulette,,Unit
38,Yes,Peanut butter,,g
39,Yes,Peanuts,,g
40,Yes,Vinaigre de cidre,,ml
41,Yes,Gingembre,,Unit
42,Yes,Joue de boeuf,,g
43,Yes,Champignon blanc,,g
44,Yes,Champignon brun,,g
45,Yes,Bouillon de cube boeuf,,Unit
46,Yes,Bouillon de cube Poulet,,Unit
47,Yes,Bouillon de cube Vege,,Unit
48,No,Farine de blé,,g
49,Yes,Farine all purpose GF,,g
50,Yes,Ground beef / boeuf haché,,g
51,Yes,Vege fake ground beef,,g
52,No,"Semoule  /  Couscous ",,g
53,Yes,Oeuf,,Unit
54,Yes,Black Beans,,ml
55,Yes,Huile d’olive,,ml
56,Yes,Ketchup,,ml
57,Yes,Mayonnaise,,ml
58,Yes,Balsamique vinaigre,,ml
59,Yes,Dijon Moutarde,,ml
60,Yes,Moutarde à l’ancienne,,ml
61,Yes,Vin blanc,,ml
62,Yes,Vin rouge,,ml
63,Yes,Oignon rouge,,Unit
64,Yes,Feta,,g
65,Yes,Poisson blanc,,g
